Actual Effort,Predicted Effort,MRE
[3626.],[4813.2637],[0.32743069]
[6783.],[3283.7644],[0.51588318]
[11361.],[14267.103],[0.25579637]
[1267.],[2100.2712],[0.65767264]
[2548.],[2328.1118],[0.08629835]
[1155.],[2148.715],[0.86035938]
[546.],[1571.6122],[1.87841059]
[2275.],[2756.3567],[0.21158536]
[9100.],[9589.869],[0.05383177]
[595.],[1941.7849],[2.26350405]
[3941.],[3130.119],[0.20575516]
[13860.],[15680.446],[0.13134533]
[1400.],[1876.7964],[0.34056885]
[2800.],[5657.742],[1.02062221]
[9520.],[18360.309],[0.92860384]
[5880.],[2447.4282],[0.58377071]
[23940.],[11680.255],[0.51210297]
